,genesymbol,canonical_marker,cell_type,germ_layer,human,human_sensitivity,human_specificity,mouse,mouse_sensitivity,mouse_specificity,ncbi_tax_id,organ,ubiquitiousness
1,CTRB1,True,Acinar cells,Endoderm,True,1.0,0.000628931,True,0.957143,0.0159201,9606,Pancreas,0.017
2,KLK1,True,Acinar cells,Endoderm,True,0.833333,0.00503145,True,0.314286,0.0128263,9606,Pancreas,0.013
5,KLK1,True,Principal cells,Mesoderm,True,0.0,0.00814536,True,0.285714,0.0140583,9606,Kidney,0.013
7,KLK1,True,Plasmacytoid dendritic cells,Mesoderm,True,0.0,0.00820189,True,1.0,0.0129136,9606,Immune system,0.013
8,KLK1,True,Endothelial cells,Mesoderm,True,0.0,0.00841969,True,0.0,0.0149153,9606,Vasculature,0.013
9,RBPJL,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,Pancreas,0.001
10,PTF1A,True,Pancreatic progenitor cells,Endoderm,True,0.0,0.000626566,True,0.0,0.00147578,9606,Pancreas,0.001
11,PTF1A,True,Acinar cells,Endoderm,True,0.0,0.000628931,True,0.157143,0.000773445,9606,Pancreas,0.001
12,PRSS3,True,Acinar cells,Endoderm,False,,,True,,,9606,Pancreas,0.007
15,CELA3A,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.128571,0.0,9606,Pancreas,0.001
16,PRSS1,True,Paneth cells,Endoderm,True,0.0,0.00971178,True,0.0,0.000128991,9606,GI tract,0.002
17,PRSS1,True,Acinar cells,Endoderm,True,1.0,0.00597484,True,0.0285714,0.0,9606,Pancreas,0.002
18,SPINK1,True,Acinar cells,Endoderm,True,1.0,0.0352201,True,0.0,0.0,9606,Pancreas,0.029
19,SPINK1,True,Epsilon cells,Endoderm,True,0.0,0.0388471,True,0.0,0.0,9606,Pancreas,0.029
21,ZG16,True,Acinar cells,Endoderm,True,0.0,0.0144654,True,0.0,0.0,9606,Pancreas,0.013
22,CEL,True,Acinar cells,Endoderm,True,0.166667,0.0,True,0.442857,0.000837899,9606,Pancreas,0.002
23,CELA2A,True,Acinar cells,Endoderm,True,0.333333,0.0,True,0.628571,0.00290042,9606,Pancreas,0.005
24,CPB1,True,Acinar cells,Endoderm,True,0.833333,0.00786164,True,0.5,0.00232034,9606,Pancreas,0.005
25,CELA1,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.814286,0.017467,9606,Pancreas,0.017
26,CELA1,True,Fibroblasts,Mesoderm,True,0.0,0.0,True,0.0226244,0.0209998,9606,Connective tissue,0.017
27,RNASE1,True,Acinar cells,Endoderm,True,0.75,0.0877358,True,0.0,0.0,9606,Pancreas,0.022
