,genesymbol,canonical_marker,cell_type,germ_layer,human,human_sensitivity,human_specificity,mouse,mouse_sensitivity,mouse_specificity,ncbi_tax_id,organ,ubiquitiousness
61,MUC1,True,Clara cells,Endoderm,True,0.666667,0.0322985,True,0.340426,0.0115201,9606,Lungs,0.016
62,MUC1,True,Pulmonary alveolar type II cells,Endoderm,True,1.0,0.0289399,True,0.765152,0.00608296,9606,Lungs,0.016
118,CEBPA,True,Pulmonary alveolar type II cells,Endoderm,True,0.0,0.0,True,0.265152,0.0279557,9606,Lungs,0.025
443,AQP5,True,Pulmonary alveolar type I cells,Endoderm,True,0.0,0.0419799,True,1.0,0.011832,9606,Lungs,0.018
500,AQP1,True,Airway epithelial cells,Endoderm,True,0.0,0.0178571,True,0.0,0.0424767,9606,Lungs,0.037
511,ADH7,True,Airway epithelial cells,Endoderm,True,0.0,0.00438596,True,0.0,0.0062881,9606,Lungs,0.006
513,CDH1,True,Airway epithelial cells,Endoderm,True,0.0,0.0416667,True,0.0,0.0572345,9606,Lungs,0.056
527,SEC14L3,True,Pulmonary alveolar type I cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,Lungs,0.006
528,SEC14L3,True,Ciliated cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,Lungs,0.006
529,SEC14L3,True,Airway epithelial cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,Lungs,0.006
530,MUC5B,True,Airway goblet cells,Mesoderm,True,0.0,0.0093985,True,0.25,0.000385183,9606,Lungs,0.002
531,MUC5B,True,Clara cells,Endoderm,True,0.0,0.00940734,True,0.12766,0.000128717,9606,Lungs,0.002
534,MUC16,True,Airway goblet cells,Mesoderm,True,0.0,0.00219298,True,0.25,0.000834564,9606,Lungs,0.001
541,SCGB3A1,True,Clara cells,Endoderm,True,0.666667,0.0109752,True,0.0,0.0,9606,Lungs,0.006
542,SCGB3A1,True,Airway goblet cells,Mesoderm,True,0.0,0.0115915,True,0.0,0.0,9606,Lungs,0.006
570,PIGR,True,Pulmonary alveolar type II cells,Endoderm,True,0.692308,0.0415225,True,0.00757576,0.0293147,9606,Lungs,0.031
579,P08074,True,Pulmonary alveolar type II cells,Endoderm,False,0.0,0.0,True,0.969697,0.0253672,10090,Lungs,0.027
593,GALNT5,True,Airway goblet cells,Mesoderm,True,0.0,0.00344612,True,0.0,0.000641972,9606,Lungs,0.001
594,GALNT6,True,Airway goblet cells,Mesoderm,True,0.0,0.00093985,True,0.125,0.00815305,9606,Lungs,0.007
598,MUC5AC,True,Airway goblet cells,Mesoderm,True,0.0,0.000313283,True,0.0,0.000577775,9606,Lungs,0.0
600,MUC4,True,Airway goblet cells,Mesoderm,True,0.0,0.016604,True,0.0,0.00263209,9606,Lungs,0.005
601,MUC4,True,Clara cells,Endoderm,True,0.0,0.0166196,True,0.0,0.00263869,9606,Lungs,0.005
602,MUC20,True,Airway goblet cells,Mesoderm,True,0.0,0.0,True,0.0,0.000128394,9606,Lungs,0.0
604,SPDEF,True,Airway goblet cells,Mesoderm,True,0.0,0.00971178,True,0.0,0.0,9606,Lungs,0.004
605,DUSP4,True,Airway goblet cells,Mesoderm,True,0.0,0.0413534,True,0.0,0.00385183,9606,Lungs,0.011
676,ALDH1A1,True,Clara cells,Endoderm,True,0.0,0.0881154,True,0.851064,0.0262582,9606,Lungs,0.039
755,SMARCA1,True,Pulmonary alveolar type I cells,Endoderm,True,0.0,0.0413534,True,0.0,0.0,9606,Lungs,0.015
761,IRX1,True,Pulmonary alveolar type II cells,Endoderm,True,0.0,0.0,True,0.431818,0.00724778,9606,Lungs,0.009
785,IL1B,True,Pulmonary alveolar type II cells,Endoderm,True,0.0,0.0254797,True,0.0378788,0.0276322,9606,Lungs,0.027
805,CXCL2,True,Pulmonary alveolar type II cells,Endoderm,True,0.846154,0.0534759,True,0.0606061,0.0379214,9606,Lungs,0.041
820,ITGAX,True,Alveolar macrophages,Mesoderm,True,0.0,0.0162907,True,0.434783,0.0027109,9606,Lungs,0.007
834,CD36,True,Pulmonary alveolar type II cells,Endoderm,True,0.230769,0.0336584,True,0.840909,0.037339,9606,Lungs,0.042
848,NR2F6,True,Alveolar macrophages,Mesoderm,False,0.0,0.0,True,0.902174,0.00548635,9606,Lungs,0.009
858,MRC1,True,Alveolar macrophages,Mesoderm,True,0.0,0.00971178,True,0.869565,0.0297554,9606,Lungs,0.029
