,genesymbol,canonical_marker,cell_type,germ_layer,human,human_sensitivity,human_specificity,mouse,mouse_sensitivity,mouse_specificity,ncbi_tax_id,organ,ubiquitiousness
0,CTRB1,False,Enterocytes,Endoderm,True,0.0,0.00439422,True,0.00331126,0.0204803,9606,GI tract,0.017
1,CTRB1,True,Acinar cells,Endoderm,True,1.0,0.000628931,True,0.957143,0.0159201,9606,Pancreas,0.017
2,KLK1,True,Acinar cells,Endoderm,True,0.833333,0.00503145,True,0.314286,0.0128263,9606,Pancreas,0.013
3,KLK1,False,Goblet cells,Endoderm,True,0.588235,0.00503937,True,0.903226,0.0124084,9606,GI tract,0.013
4,KLK1,False,Epithelial cells,Mesoderm,True,0.0,0.00823306,True,0.225806,0.0137585,9606,Epithelium,0.013
5,KLK1,True,Principal cells,Mesoderm,True,0.0,0.00814536,True,0.285714,0.0140583,9606,Kidney,0.013
6,KLK1,False,Distal tubule cells,Mesoderm,True,0.0,0.00814536,True,0.851064,0.0116489,9606,Kidney,0.013
7,KLK1,True,Plasmacytoid dendritic cells,Mesoderm,True,0.0,0.00820189,True,1.0,0.0129136,9606,Immune system,0.013
8,KLK1,True,Endothelial cells,Mesoderm,True,0.0,0.00841969,True,0.0,0.0149153,9606,Vasculature,0.013
9,RBPJL,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.0,9606,Pancreas,0.001
10,PTF1A,True,Pancreatic progenitor cells,Endoderm,True,0.0,0.000626566,True,0.0,0.00147578,9606,Pancreas,0.001
11,PTF1A,True,Acinar cells,Endoderm,True,0.0,0.000628931,True,0.157143,0.000773445,9606,Pancreas,0.001
12,PRSS3,True,Acinar cells,Endoderm,False,,,True,,,9606,Pancreas,0.007
13,PRSS3,True,Acinar cells,Endoderm,True,0.833333,0.0289308,True,0.0285714,0.0,9606,Pancreas,0.006
14,PRSS3,False,Enterocytes,Endoderm,False,,,True,,,9606,GI tract,0.007
15,CELA3A,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.128571,0.0,9606,Pancreas,0.001
16,PRSS1,True,Paneth cells,Endoderm,True,0.0,0.00971178,True,0.0,0.000128991,9606,GI tract,0.002
17,PRSS1,True,Acinar cells,Endoderm,True,1.0,0.00597484,True,0.0285714,0.0,9606,Pancreas,0.002
18,SPINK1,True,Acinar cells,Endoderm,True,1.0,0.0352201,True,0.0,0.0,9606,Pancreas,0.029
19,SPINK1,True,Epsilon cells,Endoderm,True,0.0,0.0388471,True,0.0,0.0,9606,Pancreas,0.029
20,ZG16,False,Goblet cells,Endoderm,True,0.882353,0.00976378,True,0.0,0.0,9606,GI tract,0.013
21,ZG16,True,Acinar cells,Endoderm,True,0.0,0.0144654,True,0.0,0.0,9606,Pancreas,0.013
22,CEL,True,Acinar cells,Endoderm,True,0.166667,0.0,True,0.442857,0.000837899,9606,Pancreas,0.002
23,CELA2A,True,Acinar cells,Endoderm,True,0.333333,0.0,True,0.628571,0.00290042,9606,Pancreas,0.005
24,CPB1,True,Acinar cells,Endoderm,True,0.833333,0.00786164,True,0.5,0.00232034,9606,Pancreas,0.005
25,CELA1,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.814286,0.017467,9606,Pancreas,0.017
26,CELA1,True,Fibroblasts,Mesoderm,True,0.0,0.0,True,0.0226244,0.0209998,9606,Connective tissue,0.017
27,RNASE1,True,Acinar cells,Endoderm,True,0.75,0.0877358,True,0.0,0.0,9606,Pancreas,0.022
28,RNASE1,False,Peritubular myoid cells,Mesoderm,True,0.509434,0.0831475,True,0.0,0.0,9606,Reproductive,0.022
29,RNASE1,True,Endothelial cells,Mesoderm,True,0.807692,0.0660622,True,0.0,0.0,9606,Vasculature,0.022
30,AMY2B,True,Acinar cells,Endoderm,True,0.0833333,0.0,True,0.528571,0.00148244,9606,Pancreas,0.003
31,CPA2,True,Acinar cells,Endoderm,True,0.916667,0.0,True,0.457143,0.00277151,9606,Pancreas,0.004
32,CPA1,False,Mast cells,Mesoderm,True,0.0,0.0031407,True,0.0,0.007011,9606,Immune system,0.006
33,CPA1,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.585714,0.00438286,9606,Pancreas,0.006
34,CELA3B,True,Acinar cells,Endoderm,True,0.75,0.00125786,True,0.8,0.00502739,9606,Pancreas,0.007
35,PNLIP,True,Acinar cells,Endoderm,True,0.833333,0.000314465,True,0.585714,0.00354496,9606,Pancreas,0.005
36,CTRB2,True,Acinar cells,Endoderm,True,0.916667,0.00125786,False,0.0,0.0,9606,Pancreas,0.001
37,PLA2G1B,True,Acinar cells,Endoderm,True,0.833333,0.00157233,True,0.228571,0.00638092,9606,Pancreas,0.007
38,PLA2G1B,False,Foveolar cells,Endoderm,True,0.0,0.00469925,True,1.0,0.00661401,9606,GI tract,0.007
39,PRSS2,True,Acinar cells,Endoderm,True,1.0,0.0103774,True,0.7,0.00696101,9606,Pancreas,0.01
40,PRSS2,False,Enterocytes,Endoderm,True,0.0,0.0141243,True,0.0,0.0102729,9606,GI tract,0.01
41,CLPS,True,Acinar cells,Endoderm,True,0.583333,0.000314465,True,0.957143,0.0215276,9606,Pancreas,0.021
42,CLPS,False,Foveolar cells,Endoderm,True,0.0,0.00250627,True,1.0,0.0249791,9606,GI tract,0.021
43,REG1A,True,Acinar cells,Endoderm,True,1.0,0.0273585,False,0.0,0.0,9606,Pancreas,0.005
44,SYCN,False,Epithelial cells,Mesoderm,True,0.0,0.00474984,True,0.0,0.0,9606,Epithelium,0.008
45,SYCN,True,Acinar cells,Endoderm,True,0.833333,0.00157233,True,0.0,0.0,9606,Pancreas,0.008
46,PNLIPRP1,True,Acinar cells,Endoderm,True,0.5,0.0,True,0.628571,0.00663874,9606,Pancreas,0.008
47,PNLIPRP1,False,Peri-islet Schwann cells,Endoderm,True,0.0,0.00188029,True,0.2,0.00930979,9606,Pancreas,0.008
48,CTRC,True,Acinar cells,Endoderm,True,0.833333,0.0,True,0.414286,0.00135353,9606,Pancreas,0.003
49,REG3A,True,Enterocytes,Endoderm,True,0.0,0.0141243,True,0.0,0.0,9606,GI tract,0.005
50,REG3A,True,Acinar cells,Endoderm,True,0.916667,0.0106918,True,0.0,0.0,9606,Pancreas,0.005
51,SERPINA3,True,Acinar cells,Endoderm,True,0.0,0.000314465,False,0.0,0.0,9606,Pancreas,0.0
52,SERPINA3,True,Ductal cells,Endoderm,True,0.0,0.000316756,False,0.0,0.0,9606,Pancreas,0.0
53,REG1B,True,Acinar cells,Endoderm,True,0.916667,0.0110063,False,0.0,0.0,9606,Pancreas,0.002
54,CFB,True,Ductal cells,Endoderm,True,0.0,0.0,True,0.0,0.00153994,9606,Pancreas,0.001
55,CFB,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.00154689,9606,Pancreas,0.001
56,GDF15,True,Acinar cells,Endoderm,True,0.833333,0.054088,True,0.0,0.00309378,9606,Pancreas,0.014
57,GDF15,True,Macrophages,Mesoderm,True,0.166667,0.0566038,True,0.0181818,0.00258449,9606,Immune system,0.014
58,GDF15,True,Ductal cells,Endoderm,True,0.628571,0.050681,True,0.0,0.00307988,9606,Pancreas,0.014
59,MUC1,True,Acinar cells,Endoderm,True,0.916667,0.0295597,True,0.185714,0.0117306,9606,Pancreas,0.016
60,MUC1,False,Foveolar cells,Endoderm,True,0.0,0.0328947,True,0.583333,0.0120722,9606,GI tract,0.016
61,MUC1,True,Clara cells,Endoderm,True,0.666667,0.0322985,True,0.340426,0.0115201,9606,Lungs,0.016
62,MUC1,True,Pulmonary alveolar type II cells,Endoderm,True,1.0,0.0289399,True,0.765152,0.00608296,9606,Lungs,0.016
63,MUC1,True,Sebocytes,Mesoderm,True,0.0,0.0328947,True,0.0,0.012512,9606,Skin,0.016
64,MUC1,True,Epithelial cells,Mesoderm,True,0.382353,0.0291324,True,0.0,0.012537,9606,Epithelium,0.016
65,MUC1,True,Ductal cells,Endoderm,True,0.228571,0.0307254,True,0.0,0.012512,9606,Pancreas,0.016
66,MUC1,True,Luminal epithelial cells,Ectoderm,True,0.666667,0.0299024,True,0.0,0.0125225,9606,Mammary gland,0.016
67,C15orf48,True,Acinar cells,Endoderm,True,1.0,0.109119,False,0.0,0.0,9606,Pancreas,0.018
68,C15orf48,True,Acinar cells,Endoderm,True,1.0,0.109119,False,0.0,0.0,9606,Pancreas,0.018
69,DUOXA2,True,Acinar cells,Endoderm,True,0.0,0.0,True,0.0,0.000128908,9606,Pancreas,0.0
70,AKR1C3,True,Ductal cells,Endoderm,True,0.371429,0.038961,False,0.0,0.0,9606,Pancreas,0.007
71,AKR1C3,True,Acinar cells,Endoderm,True,1.0,0.0389937,False,0.0,0.0,9606,Pancreas,0.007
72,OLFM4,True,Crypt cells,Endoderm,True,0.0,0.0153509,True,0.0,0.0126404,9606,GI tract,0.013
